long,lat,location,name,commit number,username
121.4691749,31.2322735,Shanghai China,Yunge Zhu,116,"NamedUser(login=""yungezz"")"
-97.7436995,30.2711286,"Austin, TX",Paul Durivage,116,"NamedUser(login=""angstwad"")"
-78.6141709,35.7112642,"Garner, NC",Jonathan Mainguy,110,"NamedUser(login=""Jmainguy"")"
-0.1276474,51.5073219,"London, UK",Jiri Tyr,106,"NamedUser(login=""jtyr"")"
-79.0392919,35.6729639,NC,James Laska,106,"NamedUser(login=""jlaska"")"
-78.8335495,35.9468058,"Raleigh-Durham, NC, USA",Chris Van Heuveln,102,"NamedUser(login=""chrisvanheuveln"")"
-82.1630285,43.0364448,"Camlachie, Ontario",Paul Belanger,102,"NamedUser(login=""pabelanger"")"
-87.6244212,41.8755616,"Chicago, IL",Tim Bielawa,102,"NamedUser(login=""tbielawa"")"
135.490357,34.6198813,"Osaka, Japan",Hiroaki Nakamura,102,"NamedUser(login=""hnakamur"")"
18.0710935,59.3251172,Stockholm,Hannes Ljungberg,98,"NamedUser(login=""hannseman"")"
2.3514992,48.8566101,"Paris, France",Rémy Léone,98,"NamedUser(login=""remyleone"")"
-122.6790002,45.5157563,Portlandia,Ted Timmons,94,"NamedUser(login=""tedder"")"
-73.2135472,44.4762975,"Burlington, VT",Jason McKerr,92,"NamedUser(login=""mckerrj"")"
2.3514992,48.8566101,Paris France,Yannig,88,"NamedUser(login=""Yannig"")"
10.4234469,51.0834196,Germany,Mark Chappell,84,"NamedUser(login=""tremble"")"
-0.1276474,51.5073219,"London, UK",Andrea Tartaglia,82,"NamedUser(login=""Shaps"")"
-71.0582912,42.3602534,"Boston, MA",Bruce Pennypacker,82,"NamedUser(login=""bpennypacker"")"
5.3076895,51.2305657,"Lommel, Belgium",Jeroen Hoekx,82,"NamedUser(login=""jhoekx"")"
2.3514992,48.8566101,"Paris, France",Julien Palard,74,"NamedUser(login=""JulienPalard"")"
11.52803644,64.5731537,Norway,Trond Hindenes,74,"NamedUser(login=""trondhindenes"")"
-73.9495823,40.6501038,"Brooklyn, NY",Timothy Appnel,73,"NamedUser(login=""tima"")"
6.7763137,51.2254018,Düsseldorf,Evgeni Golov,72,"NamedUser(login=""evgeni"")"
10.4234469,51.0834196,Germany,Christian Kotte,72,"NamedUser(login=""ckotte"")"
114.1857978,22.34921555,Hong Kong,Chrrrles Paul,68,"NamedUser(login=""chrrrles"")"
108.9365887,34.3468421,Xian  China,,66,"NamedUser(login=""yanzhangi"")"
-78.9018053,35.996653,"Durham, NC",Alan Rominger,66,"NamedUser(login=""AlanCoding"")"
-122.3300624,47.6038321,"Seattle, WA",Tom Melendez,66,"NamedUser(login=""supertom"")"
-79.05578,35.9131542,"Chapel Hill, NC",Tim Gerla,66,"NamedUser(login=""tgerla"")"
18.0710935,59.3251172,Stockholm,Andreas Olsson,64,"NamedUser(login=""andreaso"")"
77.5912997,12.9791198,Bangalore,Deepak Agrawal,60,"NamedUser(login=""gdpak"")"
-63.69397103,44.7862,"Sunnyvale, CA",Samer Deeb,60,"NamedUser(login=""samerd"")"
13.4609744,48.5748229,Passau,Lukas Kämmerling,58,"NamedUser(login=""LKaemmerling"")"
1.8883335,46.603354,France,David Passante,58,"NamedUser(login=""dpassante"")"
8.2146017,53.1389753,"Oldenburg, Germany",Eike Frost,58,"NamedUser(login=""eikef"")"
-121.8905833,37.3361905,"San Jose, CA",Ivan Bojer,58,"NamedUser(login=""ivanbojer"")"
5.7480821,52.5001698,.nl,Jasper Lievisse Adriaanse,58,"NamedUser(login=""jasperla"")"
13.3888599,52.5170365,Berlin,,58,"NamedUser(login=""quiver"")"
4.6667145,50.6402809,Belgium,Stéphane Wirtel,56,"NamedUser(login=""matrixise"")"
78.6677428,22.3511148,India,Kedar Kekan,56,"NamedUser(login=""kedarX"")"
2.3514992,48.8566101,"Paris, France",Loïc Blot,54,"NamedUser(login=""nerzhul"")"
10.4234469,51.0834196,Germany,Alex,54,"NamedUser(login=""alxgu"")"
21.07141113,52.2337172,"Warsaw, Poland",Mariusz Mazur,52,"NamedUser(login=""mmazur"")"
-78.6390989,35.7803977,Raleigh NC,Fabian von Feilitzsch,50,"NamedUser(login=""fabianvf"")"
8.2319736,46.7985624,Switzerland,Tobias Rüetschi,50,"NamedUser(login=""keachi"")"
-74.0060152,40.7127281,"New York, NY",Robert Estelle,50,"NamedUser(login=""erydo"")"
116.3912757,39.906217,Beijing China,Diane Wang,48,"NamedUser(login=""Tomorrow9"")"
-97.7436995,30.2711286,"Austin, TX",Bill Dodd,48,"NamedUser(login=""billdodd"")"
18.6452324,54.347629,"Gdańsk, Poland",Maciej Delmanowski,48,"NamedUser(login=""drybjed"")"
